네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
여가/생활편의
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 10대

"날짜","여가/생활편의"
"2021-07-09",30
"2021-07-10",36
"2021-07-11",37
"2021-07-12",33
"2021-07-13",32
"2021-07-14",33
"2021-07-15",33
"2021-07-16",34
"2021-07-17",40
"2021-07-18",40
"2021-07-19",39
"2021-07-20",38
"2021-07-21",39
"2021-07-22",43
"2021-07-23",40
"2021-07-24",41
"2021-07-25",40
"2021-07-26",42
"2021-07-27",42
"2021-07-28",43
"2021-07-29",44
"2021-07-30",44
"2021-07-31",44
"2021-08-01",49
"2021-08-02",49
"2021-08-03",46
"2021-08-04",46
"2021-08-05",44
"2021-08-06",42
"2021-08-07",45
"2021-08-08",43
"2021-08-09",41
"2021-08-10",41
"2021-08-11",39
"2021-08-12",38
"2021-08-13",35
"2021-08-14",40
"2021-08-15",39
"2021-08-16",33
"2021-08-17",26
"2021-08-18",27
"2021-08-19",27
"2021-08-20",26
"2021-08-21",29
"2021-08-22",28
"2021-08-23",23
"2021-08-24",21
"2021-08-25",23
"2021-08-26",23
"2021-08-27",26
"2021-08-28",28
"2021-08-29",30
"2021-08-30",26
"2021-08-31",24
"2021-09-01",26
"2021-09-02",27
"2021-09-03",28
"2021-09-04",30
"2021-09-05",30
"2021-09-06",26
"2021-09-07",25
"2021-09-08",24
"2021-09-09",25
"2021-09-10",23
"2021-09-11",28
"2021-09-12",30
"2021-09-13",22
"2021-09-14",22
"2021-09-15",23
"2021-09-16",23
"2021-09-17",27
"2021-09-18",32
"2021-09-19",32
"2021-09-20",33
"2021-09-21",36
"2021-09-22",36
"2021-09-23",31
"2021-09-24",28
"2021-09-25",31
"2021-09-26",31
"2021-09-27",30
"2021-09-28",29
"2021-09-29",28
"2021-09-30",31
"2021-10-01",36
"2021-10-02",42
"2021-10-03",42
"2021-10-04",40
"2021-10-05",35
"2021-10-06",33
"2021-10-07",36
"2021-10-08",41
"2021-10-09",47
"2021-10-10",50
"2021-10-11",40
"2021-10-12",35
"2021-10-13",36
"2021-10-14",36
"2021-10-15",39
"2021-10-16",40
"2021-10-17",36
"2021-10-18",34
"2021-10-19",34
"2021-10-20",37
"2021-10-21",40
"2021-10-22",45
"2021-10-23",47
"2021-10-24",43
"2021-10-25",41
"2021-10-26",39
"2021-10-27",42
"2021-10-28",42
"2021-10-29",49
"2021-10-30",62
"2021-10-31",55
"2021-11-01",53
"2021-11-02",44
"2021-11-03",45
"2021-11-04",43
"2021-11-05",49
"2021-11-06",51
"2021-11-07",51
"2021-11-08",47
"2021-11-09",44
"2021-11-10",44
"2021-11-11",54
"2021-11-12",47
"2021-11-13",48
"2021-11-14",50
"2021-11-15",49
"2021-11-16",49
"2021-11-17",47
"2021-11-18",41
"2021-11-19",56
"2021-11-20",56
"2021-11-21",58
